년도,날짜,승패,상대,AVG_K,OPS_K,LI_K,WPA_K,HR/AB_K,SO/AB_K,ERA_K,WHIP_K,LI_K,WPA_K,SO/IP_K,AVG_R,OPS_R,LI_R,WPA_R,HR/AB_R,SO/AB_R,ERA_R,WHIP_R,LI_R,WPA_R,SO/IP_R
2018,6월 1일,0,두산,0.219,0.598,1.73,-0.071,0,0.313,5,1.44,1.2,-0.429,0.889,0.303,0.907,1.16,0.429,0.061,0.242,3,1.11,1.7,0.071,1.111
2018,6월 2일,0,두산,0.172,0.514,0.5,-0.263,0,0.172,10,2.33,0.6,-0.237,0.556,0.425,1.167,0.57,0.237,0.075,0.125,0,0.89,0.5,0.263,0.556
2018,6월 3일,1,두산,0.425,1.129,1.85,0.846,0.025,0.125,9,2,1.2,-0.346,1.1,0.326,0.904,1.2,0.346,0.043,0.239,11.17,2.48,1.9,-0.846,0.543
2018,6월 5일,1,KT,0.366,1.088,0.64,0.28,0.073,0.122,2,1.22,0.8,0.22,0.889,0.265,0.562,0.79,-0.22,0,0.235,11,1.67,0.6,-0.28,0.556
2018,6월 6일,1,KT,0.242,0.766,0.91,0.287,0.061,0.212,2,1.33,1.2,0.213,0.556,0.222,0.808,1.19,-0.213,0.074,0.185,1,1.33,0.9,-0.287,0.778
2018,6월 7일,1,KT,0.226,0.617,0.73,-0.121,0.032,0.097,2,1.11,0.7,0.121,0.667,0.129,0.375,1.65,-0.621,0,0.194,0,0.67,1.6,0.621,0.333
2018,6월 8일,0,롯데,0.343,0.938,0.64,-0.187,0.057,0.086,10.13,2.13,0.5,-0.328,0.5,0.368,0.967,0.55,0.328,0.026,0.105,6,1.67,0.6,0.187,0.333
2018,6월 9일,1,롯대,0.306,0.821,0.92,0.182,0,0.222,5,1.89,1.6,0.318,0.889,0.324,0.995,1.59,-0.318,0.054,0.216,7,1.78,0.9,-0.182,0.889
2018,6월 12일,1,sk,0.207,0.626,0.88,-0.085,0.034,0.172,0,1.11,1.3,0.586,0.889,0.194,0.518,1.26,-0.586,0,0.258,4.5,1,0.9,0.085,0.625
2018,6월 13일,0,sk,0.161,0.58,2.14,-0.321,0.032,0.226,5,1.33,0.7,-0.179,0.667,0.294,0.804,0.71,0.179,0.059,0.176,3,1.11,2.1,0.321,0.778
2018,6월 14일,0,sk,0.167,0.591,1.08,-0.217,0.033,0.3,9,1.44,0.6,-0.283,0.333,0.343,0.98,0.58,0.283,0.086,0.086,2,1.22,1.1,0.217,1
2018,6월 15일,0,LG,0.278,0.667,1.58,-0.122,0.028,0.167,4.15,1.27,1,-0.378,0.244,0.29,0.743,1.02,0.378,0.032,0.065,3,1.11,1.6,0.122,0.667
2018,6월 16일,0,LG,0.265,0.756,1.13,-0.207,0.059,0.265,4.15,1.85,1.7,-0.293,0.732,0.353,0.793,1.72,0.293,0,0.176,3,1.11,1.1,0.207,1
2018,6월 17일,0,LG,0.29,0.829,0.93,-0.155,0.032,0.097,9,2.13,0.4,-0.345,1.125,0.353,0.968,0.43,0.345,0.029,0.265,6,2,0.9,0.155,0.333
2018,6월 20일,1,NC,0.313,0.924,1.17,0.553,0.063,0.281,5,1.67,1,-0.053,0.444,0.351,0.751,1.02,0.053,0,0.108,6.75,1.63,1.2,-0.553,1.125
2018,6월 21일,0,NC,0.182,0.513,0.89,-0.165,0,0.061,7,1.11,0.7,-0.335,0.444,0.226,0.757,0.69,0.335,0.065,0.129,4,1.11,0.9,0.165,0.222
2018,6월 22일,1,키움,0.324,0.916,0.59,0.321,0.027,0.243,5,1.33,0.7,0.179,0.778,0.27,0.811,0.71,-0.179,0.054,0.189,8,1.56,0.6,-0.321,1
2018,6월 23일,0,키움,0.235,0.728,0.91,-0.101,0.059,0.265,7.88,2.5,0.9,-0.399,0.75,0.378,0.979,0.92,0.399,0.027,0.162,4,1,0.9,0.101,1
2018,6월 24일,1,키움,0.35,0.926,1.49,1.213,0.025,0.175,10,2,0.9,-0.712,1,0.359,1.038,0.89,0.712,0.051,0.231,14,2,1.5,-1.213,0.778
2018,6월 27일,0,SK,0.242,0.669,1.48,-0.306,0.03,0.121,3.38,1,1.2,-0.194,0.25,0.231,0.545,1.16,0.194,0,0.077,2,1.22,1.5,0.306,0.444
2018,6월 29일,1,두산,0.35,0.863,1.66,0.346,0,0.2,3.6,1.5,1,0.15,0.6,0.293,0.658,0.98,-0.15,0,0.146,6.3,1.9,1.7,-0.346,0.8
2018,6월 30일,0,두산,0.156,0.406,0.15,-0.081,0.031,0.313,13.5,2.13,0.3,-0.419,0.75,0.436,1.029,0.26,0.419,0.026,0.154,2,0.56,0.2,0.081,1.111
2018,7월 3일,1,한화,0.4,1.021,0.48,0.428,0.029,0.143,2,0.56,0.4,0.072,1.556,0.156,0.531,0.39,-0.072,0.063,0.438,7.88,2,0.5,-0.428,0.625
2018,7월 4일,1,한화,0.333,0.86,1.2,0.39,0,0.212,4,1.56,1.1,0.11,1.111,0.286,0.775,1.14,-0.11,0,0.286,5.63,1.75,1.2,-0.39,0.875
2018,7월 5일,0,한화,0.172,0.445,0.85,-0.222,0,0.31,8,1.56,0.8,-0.278,0.667,0.351,0.828,0.8,0.278,0.027,0.162,2,1,0.9,0.222,1
2018,7월 6일,1,LG,0.378,1.024,0.36,0.436,0.027,0.162,4,1,0.4,0.064,1,0.242,0.628,0.38,-0.064,0.03,0.273,12.38,2.63,0.4,-0.436,0.75
2018,7월 7일,0,LG,0.436,1.117,1.13,0.789,0.051,0.205,8,1.78,1.4,-1.289,0.556,0.326,0.983,1.4,1.289,0.07,0.116,10,1.89,1.1,-0.789,0.889
2018,7월 8일,0,LG,0.167,0.431,0.82,-0.195,0,0.133,8,2.22,0.5,-0.305,0.778,0.395,1.039,0.48,0.305,0.047,0.163,1,0.89,0.8,0.195,0.444
2018,7월 10일,0,NC,0.27,0.927,0.84,0.04,0.081,0.297,9,1.75,0.9,-0.54,0.875,0.25,0.782,0.86,0.54,0.036,0.25,5,1.67,0.8,-0.04,1.222
2018,7월 11일,0,NC,0.103,0.454,1.02,-0.48,0.034,0.276,2.25,1.25,0.9,-0.02,1.625,0.258,0.681,0.94,0.02,0.032,0.419,1,0.78,1,0.48,0.889
2018,7월 12일,0,NC,0.3,0.886,1.71,-0.354,0.033,0.233,4.5,1,0.7,-0.146,0.75,0.214,0.746,0.72,0.146,0.071,0.214,3,1.22,1.7,0.354,0.778
2018,7월 17일,1,삼성,0.313,0.878,1.34,0.335,0.031,0.25,3,1,0.9,0.165,1,0.25,0.5,0.92,-0.165,0,0.25,6.75,1.63,1.3,-0.335,1
2018,7월 18일,0,삼성,0.167,0.431,0.66,-0.188,0,0.2,7,1.44,0.5,-0.312,0.111,0.342,0.947,0.54,0.312,0.079,0.026,1,0.89,0.7,0.188,0.667
2018,7월 19일,0,삼성,0.306,0.681,1,-0.256,0,0.056,6,1.56,0.6,-0.244,0.444,0.306,0.974,0.56,0.244,0.083,0.111,2,1.67,1,0.256,0.222
2018,7월 20일,1,KT,0.303,0.849,1.32,0.421,0,0.061,4,1,1.1,0.079,1.222,0.2,0.672,1.07,-0.079,0.057,0.314,6.75,1.75,1.3,-0.421,0.25
2018,7월 21일,1,KT,0.324,0.845,0.66,0.146,0.027,0.081,2,1.44,1.5,0.354,0.111,0.267,0.694,1.51,-0.354,0,0.033,9,1.75,0.7,-0.146,0.375
2018,7월 22일,0,KT,0.343,0.872,1.15,-0.167,0.029,0.171,6,1.89,1.2,-0.332,0.889,0.257,0.852,1.18,0.332,0.057,0.229,4,1.78,1.1,0.167,0.667
2018,7월 24일,0,한화,0.133,0.328,0.4,-0.266,0,0.1,2.25,1.75,0.4,-0.234,1.125,0.273,0.823,0.43,0.234,0.061,0.273,0,0.44,0.4,0.266,0.333
2018,7월 25일,1,한화,0.342,0.926,0.49,0.476,0,0.079,3,1.33,0.8,0.024,1.111,0.278,0.641,0.77,-0.024,0,0.278,10,1.89,0.5,-0.476,0.333
2018,7월 26일,0,한화,0.161,0.47,0.74,-0.096,0.032,0.323,6.75,1.88,0.8,-0.404,0.875,0.367,0.944,0.83,0.404,0,0.233,3,0.67,0.7,0.096,1.111
2018,7월 27일,0,삼성,0.4,0.94,1.22,0.507,0.04,0.16,9.28,3.19,2.5,-1.007,0.98,0.453,1.094,2.46,1.007,0,0.189,8.18,1.82,1.2,-0.507,0.727
2018,7월 28일,0,삼성,0.206,0.619,1.85,-0.541,0.029,0.412,2.25,1.5,1,0.042,1.125,0.29,0.823,0.99,-0.042,0.032,0.29,2,1.22,1.8,0.541,1.556
2018,7월 29일,0,삼성,0.133,0.524,0.91,-0.393,0.033,0.133,14.63,2,0.6,-0.107,0.75,0.385,1.3,0.61,0.107,0.128,0.154,1,1,0.9,0.393,0.444
2018,7월 31일,1,롯데,0.2,0.681,0.84,0.18,0.033,0.233,1,0.56,0.9,0.32,1.111,0.107,0.31,0.91,-0.32,0,0.357,4.5,1.25,0.8,-0.18,0.875
2018,8월 1일,1,롯데,0.405,1.07,0.48,0.297,0,0.108,1,1.22,0.6,0.203,1.333,0.161,0.542,0.62,-0.203,0,0.387,9,2,0.5,-0.297,0.5
2018,8월 2일,0,롯데,0.212,0.72,0.89,-0.026,0.091,0.121,9,2.33,1,-0.474,0.778,0.409,1.117,0.97,0.474,0.045,0.159,6,0.78,0.9,0.026,0.444
2018,8월 4일,1,두산,0.382,1.081,0.41,0.45,0.029,0.206,5,1.44,0.3,0.05,1,0.297,0.955,0.29,-0.05,0.054,0.243,11.25,2.13,0.4,-0.45,0.875
2018,8월 5일,1,두산,0.364,1.053,1.12,0.464,0.061,0.182,3,1.22,1.2,0.036,0.556,0.242,0.669,1.23,-0.036,0.03,0.152,6.75,1.88,1.1,-0.464,0.75
2018,8월 7일,0,키움,0.219,0.543,1.26,-0.313,0,0.156,10.13,2.5,0.8,-0.187,1,0.475,1.301,0.8,0.187,0.075,0.2,1,1.33,1.3,0.313,0.556
2018,8월 8일,0,키움,0.324,0.825,1.54,0.055,0,0.162,4.66,2.07,1.9,-0.555,0.543,0.385,0.983,1.86,0.555,0.026,0.128,4.5,1.8,1.5,-0.055,0.6
2018,8월 9일,1,롯데,0.194,0.565,0.63,0.217,0.032,0.194,11,1.78,0.9,-0.717,0.889,0.359,1.063,0.85,0.717,0.077,0.205,4,0.78,0.6,-0.217,0.667
2018,8월 11일,1,SK,0.49,1.398,0.53,0.476,0.082,0.102,4,1.11,0.6,0.024,0.444,0.25,0.817,0.56,-0.024,0.063,0.125,18,3.11,0.5,-0.476,0.556
2018,8월 12일,1,SK,0.463,1.445,0.17,0.488,0.148,0.037,8,1.33,0,0.012,0.667,0.278,0.889,0.02,-0.012,0.083,0.167,19,3,0.2,-0.488,0.222
2018,8월 14일,1,LG,0.378,1.097,0.36,0.465,0.027,0.135,8,1.67,0.3,0.035,0.444,0.359,0.819,0.35,-0.035,0,0.103,15.75,3.25,0.4,-0.465,0.625
2018,8월 15일,0,LG,0.229,0.696,0.31,-0.009,0.029,0.229,13,2,0.2,-0.491,0.778,0.4,1.167,0.22,0.491,0.075,0.175,4,1.33,0.3,0.009,0.889
2018,8월 16일,0,롯데,0.405,1.052,1.47,-0.133,0.048,0.214,9,1.38,0.8,-0.367,0.5,0.313,0.865,0.75,0.367,0.063,0.125,6,2.33,1.5,0.133,1
2018,9월 4일,1,두산,0.194,0.659,1.12,0.551,0.028,0.083,5,1.67,0.6,-0.051,0.444,0.297,0.825,0.58,0.051,0.027,0.108,9,1.44,1.1,-0.551,0.333
2018,9월 5일,0,두산,0.206,0.485,0.53,-0.253,0,0.088,15.75,2.63,0.3,-0.247,0.5,0.45,1.214,0.34,0.247,0.075,0.1,1,0.89,0.5,0.253,0.333
2018,9월 6일,1,키움,0.259,0.807,1.29,0.329,0.037,0.296,2,1,0.9,0.171,1.333,0.229,0.613,0.9,-0.171,0,0.343,7.88,1.63,1.3,-0.329,1
2018,9월 7일,1,키움,0.267,0.728,0.74,0.336,0,0.3,5,1.67,1.5,0.164,1.111,0.324,0.771,1.49,-0.164,0.027,0.27,5.63,1.75,0.7,-0.336,1.125
2018,9월 8일,1,삼성,0.353,1.101,0.5,0.327,0.088,0.176,4,1.22,0.4,0.173,0.667,0.235,0.591,0.4,-0.173,0,0.176,12.38,2,0.5,-0.327,0.75
2018,9월 9일,0,삼성,0.125,0.556,1.41,-0.32,0.031,0.281,6,1.56,0.9,-0.18,1.111,0.25,0.675,0.95,0.18,0.028,0.278,5,0.89,1.4,0.32,1
